사망원인별(104항목),성별,연령(5세)별,2017,2018,2019,2020,2021
소화계통의 질환 (K00-K92),계,20 - 29세,36,33,35,42,44
소화계통의 질환 (K00-K92),계,30 - 39세,256,244,278,274,256
소화계통의 질환 (K00-K92),계,40 - 49세,1214,1225,1047,1106,1116
소화계통의 질환 (K00-K92),계,50 - 59세,2466,2390,2381,2433,2351
소화계통의 질환 (K00-K92),계,60 - 69세,1952,2073,1964,2240,2408
소화계통의 질환 (K00-K92),계,70 - 79세,2388,2327,2277,2339,2382
소화계통의 질환 (K00-K92),계,80세 이상,3810,4089,3967,4416,4571
소화계통의 질환 (K00-K92),남자,계,7551,7650,7316,7922,8109
소화계통의 질환 (K00-K92),남자,0 - 9세,1,7,4,8,7
소화계통의 질환 (K00-K92),남자,10 - 19세,3,2,2,5,3
소화계통의 질환 (K00-K92),남자,20 - 29세,20,22,21,22,25
소화계통의 질환 (K00-K92),남자,30 - 39세,163,157,181,170,171
소화계통의 질환 (K00-K92),남자,40 - 49세,966,944,793,845,843
소화계통의 질환 (K00-K92),남자,50 - 59세,2115,2034,2034,2088,1970
소화계통의 질환 (K00-K92),남자,60 - 69세,1614,1662,1571,1810,1966
소화계통의 질환 (K00-K92),남자,70 - 79세,1377,1400,1368,1448,1484
소화계통의 질환 (K00-K92),남자,80세 이상,1292,1421,1340,1526,1640
소화계통의 질환 (K00-K92),여자,계,4581,4751,4647,4948,5035
소화계통의 질환 (K00-K92),여자,0 - 9세,3,4,1,6,4
소화계통의 질환 (K00-K92),여자,10 - 19세,3,4,3,1,2
소화계통의 질환 (K00-K92),여자,20 - 29세,16,11,14,20,19
소화계통의 질환 (K00-K92),여자,30 - 39세,93,87,97,104,85
소화계통의 질환 (K00-K92),여자,40 - 49세,248,281,254,261,273
소화계통의 질환 (K00-K92),여자,50 - 59세,351,356,347,345,381
소화계통의 질환 (K00-K92),여자,60 - 69세,338,411,393,430,442
소화계통의 질환 (K00-K92),여자,70 - 79세,1011,927,909,891,898
소화계통의 질환 (K00-K92),여자,80세 이상,2518,2668,2627,2890,2931
피부 및 피하조직의 질환 (L00-L98),계,계,620,612,617,568,533
피부 및 피하조직의 질환 (L00-L98),계,0 - 9세,0,0,0,0,1
피부 및 피하조직의 질환 (L00-L98),계,10 - 19세,0,0,0,1,0
피부 및 피하조직의 질환 (L00-L98),계,20 - 29세,0,0,0,1,1
피부 및 피하조직의 질환 (L00-L98),계,30 - 39세,2,1,1,3,3
피부 및 피하조직의 질환 (L00-L98),계,40 - 49세,7,5,10,8,12
피부 및 피하조직의 질환 (L00-L98),계,50 - 59세,29,29,23,26,16
피부 및 피하조직의 질환 (L00-L98),계,60 - 69세,38,60,44,50,44
피부 및 피하조직의 질환 (L00-L98),계,70 - 79세,139,146,122,127,104
피부 및 피하조직의 질환 (L00-L98),계,80세 이상,405,371,416,352,352
피부 및 피하조직의 질환 (L00-L98),남자,계,212,239,203,241,209
피부 및 피하조직의 질환 (L00-L98),남자,0 - 9세,0,0,0,0,1
피부 및 피하조직의 질환 (L00-L98),남자,10 - 19세,0,0,0,1,0
피부 및 피하조직의 질환 (L00-L98),남자,20 - 29세,0,0,0,1,0
피부 및 피하조직의 질환 (L00-L98),남자,30 - 39세,2,0,0,2,1
피부 및 피하조직의 질환 (L00-L98),남자,40 - 49세,7,5,4,6,8
피부 및 피하조직의 질환 (L00-L98),남자,50 - 59세,21,19,15,23,11
피부 및 피하조직의 질환 (L00-L98),남자,60 - 69세,20,36,27,33,31
피부 및 피하조직의 질환 (L00-L98),남자,70 - 79세,62,72,61,67,50
피부 및 피하조직의 질환 (L00-L98),남자,80세 이상,100,107,96,108,107
피부 및 피하조직의 질환 (L00-L98),여자,계,408,373,414,327,324
피부 및 피하조직의 질환 (L00-L98),여자,0 - 9세,0,0,0,0,0
피부 및 피하조직의 질환 (L00-L98),여자,10 - 19세,0,0,0,0,0
피부 및 피하조직의 질환 (L00-L98),여자,20 - 29세,0,0,0,0,1
피부 및 피하조직의 질환 (L00-L98),여자,30 - 39세,0,1,1,1,2
피부 및 피하조직의 질환 (L00-L98),여자,40 - 49세,0,0,6,2,4
피부 및 피하조직의 질환 (L00-L98),여자,50 - 59세,8,10,8,3,5
피부 및 피하조직의 질환 (L00-L98),여자,60 - 69세,18,24,17,17,13
피부 및 피하조직의 질환 (L00-L98),여자,70 - 79세,77,74,61,60,54
피부 및 피하조직의 질환 (L00-L98),여자,80세 이상,305,264,320,244,245
근골격계통 및 결합 조직의 질환 (M00-M99),계,계,1521,1412,1366,1413,1377
근골격계통 및 결합 조직의 질환 (M00-M99),계,0 - 9세,3,1,1,1,1
근골격계통 및 결합 조직의 질환 (M00-M99),계,10 - 19세,6,5,6,6,3
근골격계통 및 결합 조직의 질환 (M00-M99),계,20 - 29세,17,15,10,6,4
근골격계통 및 결합 조직의 질환 (M00-M99),계,30 - 39세,13,17,25,15,19
근골격계통 및 결합 조직의 질환 (M00-M99),계,40 - 49세,48,41,51,32,32
근골격계통 및 결합 조직의 질환 (M00-M99),계,50 - 59세,114,97,99,79,92
근골격계통 및 결합 조직의 질환 (M00-M99),계,60 - 69세,159,160,167,167,159
근골격계통 및 결합 조직의 질환 (M00-M99),계,70 - 79세,356,354,345,330,331
근골격계통 및 결합 조직의 질환 (M00-M99),계,80세 이상,805,722,662,777,736
근골격계통 및 결합 조직의 질환 (M00-M99),남자,계,504,476,497,489,540
근골격계통 및 결합 조직의 질환 (M00-M99),남자,0 - 9세,2,1,1,1,0
근골격계통 및 결합 조직의 질환 (M00-M99),남자,10 - 19세,2,2,2,0,2
근골격계통 및 결합 조직의 질환 (M00-M99),남자,20 - 29세,5,3,3,2,1
근골격계통 및 결합 조직의 질환 (M00-M99),남자,30 - 39세,5,4,9,6,7
근골격계통 및 결합 조직의 질환 (M00-M99),남자,40 - 49세,19,15,19,13,16
근골격계통 및 결합 조직의 질환 (M00-M99),남자,50 - 59세,55,44,50,37,57
근골격계통 및 결합 조직의 질환 (M00-M99),남자,60 - 69세,75,79,82,89,77
근골격계통 및 결합 조직의 질환 (M00-M99),남자,70 - 79세,143,152,166,140,160
근골격계통 및 결합 조직의 질환 (M00-M99),남자,80세 이상,198,176,165,201,220
근골격계통 및 결합 조직의 질환 (M00-M99),여자,계,1017,936,869,924,837
근골격계통 및 결합 조직의 질환 (M00-M99),여자,0 - 9세,1,0,0,0,1
근골격계통 및 결합 조직의 질환 (M00-M99),여자,10 - 19세,4,3,4,6,1
근골격계통 및 결합 조직의 질환 (M00-M99),여자,20 - 29세,12,12,7,4,3
근골격계통 및 결합 조직의 질환 (M00-M99),여자,30 - 39세,8,13,16,9,12
근골격계통 및 결합 조직의 질환 (M00-M99),여자,40 - 49세,29,26,32,19,16
근골격계통 및 결합 조직의 질환 (M00-M99),여자,50 - 59세,59,53,49,42,35
근골격계통 및 결합 조직의 질환 (M00-M99),여자,60 - 69세,84,81,85,78,82
근골격계통 및 결합 조직의 질환 (M00-M99),여자,70 - 79세,213,202,179,190,171
근골격계통 및 결합 조직의 질환 (M00-M99),여자,80세 이상,607,546,497,576,516
비뇨생식계통의 질환 (N00-N98),계,계,7582,8160,8565,9343,9779
비뇨생식계통의 질환 (N00-N98),계,0 - 9세,2,1,2,2,2
비뇨생식계통의 질환 (N00-N98),계,10 - 19세,0,1,2,3,0
비뇨생식계통의 질환 (N00-N98),계,20 - 29세,10,15,4,11,13
비뇨생식계통의 질환 (N00-N98),계,30 - 39세,23,29,33,35,28
비뇨생식계통의 질환 (N00-N98),계,40 - 49세,134,132,89,117,108
비뇨생식계통의 질환 (N00-N98),계,50 - 59세,370,416,386,415,350
비뇨생식계통의 질환 (N00-N98),계,60 - 69세,798,790,813,910,961
비뇨생식계통의 질환 (N00-N98),계,70 - 79세,2014,2111,2190,2200,2164
비뇨생식계통의 질환 (N00-N98),계,80세 이상,4229,4663,5046,5650,6153
비뇨생식계통의 질환 (N00-N98),남자,계,3303,3548,3712,4113,4223
비뇨생식계통의 질환 (N00-N98),남자,0 - 9세,1,0,1,1,1
비뇨생식계통의 질환 (N00-N98),남자,10 - 19세,0,1,1,2,0
비뇨생식계통의 질환 (N00-N98),남자,20 - 29세,5,9,3,8,6
비뇨생식계통의 질환 (N00-N98),남자,30 - 39세,9,14,20,23,18
비뇨생식계통의 질환 (N00-N98),남자,40 - 49세,85,83,53,73,66
비뇨생식계통의 질환 (N00-N98),남자,50 - 59세,248,277,259,282,240
비뇨생식계통의 질환 (N00-N98),남자,60 - 69세,506,466,536,577,609
비뇨생식계통의 질환 (N00-N98),남자,70 - 79세,980,1087,1114,1141,1153
비뇨생식계통의 질환 (N00-N98),남자,80세 이상,1468,1609,1725,2006,2130
비뇨생식계통의 질환 (N00-N98),여자,계,4279,4612,4853,5230,5556
비뇨생식계통의 질환 (N00-N98),여자,0 - 9세,1,1,1,1,1
비뇨생식계통의 질환 (N00-N98),여자,10 - 19세,0,0,1,1,0
비뇨생식계통의 질환 (N00-N98),여자,20 - 29세,5,6,1,3,7
비뇨생식계통의 질환 (N00-N98),여자,30 - 39세,14,15,13,12,10
비뇨생식계통의 질환 (N00-N98),여자,40 - 49세,49,49,36,44,42
비뇨생식계통의 질환 (N00-N98),여자,50 - 59세,122,139,127,133,110
비뇨생식계통의 질환 (N00-N98),여자,60 - 69세,292,324,277,333,352
비뇨생식계통의 질환 (N00-N98),여자,70 - 79세,1034,1024,1076,1059,1011
비뇨생식계통의 질환 (N00-N98),여자,80세 이상,2761,3054,3321,3644,4023
"임신, 출산 및 산후기 (O00-O99)",계,계,32,41,36,36,24
"임신, 출산 및 산후기 (O00-O99)",계,0 - 9세,0,0,0,0,0
"임신, 출산 및 산후기 (O00-O99)",계,10 - 19세,0,0,0,1,0
"임신, 출산 및 산후기 (O00-O99)",계,20 - 29세,3,7,6,5,5
"임신, 출산 및 산후기 (O00-O99)",계,30 - 39세,26,33,27,26,15
"임신, 출산 및 산후기 (O00-O99)",계,40 - 49세,3,1,3,4,4
"임신, 출산 및 산후기 (O00-O99)",계,50 - 59세,0,0,0,0,0
"임신, 출산 및 산후기 (O00-O99)",계,60 - 69세,0,0,0,0,0
"임신, 출산 및 산후기 (O00-O99)",계,70 - 79세,0,0,0,0,0
"임신, 출산 및 산후기 (O00-O99)",계,80세 이상,0,0,0,0,0
"임신, 출산 및 산후기 (O00-O99)",남자,계,0,0,0,0,0
"임신, 출산 및 산후기 (O00-O99)",남자,0 - 9세,0,0,0,0,0
"임신, 출산 및 산후기 (O00-O99)",남자,10 - 19세,0,0,0,0,0
"임신, 출산 및 산후기 (O00-O99)",남자,20 - 29세,0,0,0,0,0
"임신, 출산 및 산후기 (O00-O99)",남자,30 - 39세,0,0,0,0,0
"임신, 출산 및 산후기 (O00-O99)",남자,40 - 49세,0,0,0,0,0
"임신, 출산 및 산후기 (O00-O99)",남자,50 - 59세,0,0,0,0,0
"임신, 출산 및 산후기 (O00-O99)",남자,60 - 69세,0,0,0,0,0
"임신, 출산 및 산후기 (O00-O99)",남자,70 - 79세,0,0,0,0,0
"임신, 출산 및 산후기 (O00-O99)",남자,80세 이상,0,0,0,0,0
"임신, 출산 및 산후기 (O00-O99)",여자,계,32,41,36,36,24
"임신, 출산 및 산후기 (O00-O99)",여자,0 - 9세,0,0,0,0,0
"임신, 출산 및 산후기 (O00-O99)",여자,10 - 19세,0,0,0,1,0
"임신, 출산 및 산후기 (O00-O99)",여자,20 - 29세,3,7,6,5,5
"임신, 출산 및 산후기 (O00-O99)",여자,30 - 39세,26,33,27,26,15
"임신, 출산 및 산후기 (O00-O99)",여자,40 - 49세,3,1,3,4,4
"임신, 출산 및 산후기 (O00-O99)",여자,50 - 59세,0,0,0,0,0
"임신, 출산 및 산후기 (O00-O99)",여자,60 - 69세,0,0,0,0,0
"임신, 출산 및 산후기 (O00-O99)",여자,70 - 79세,0,0,0,0,0
"임신, 출산 및 산후기 (O00-O99)",여자,80세 이상,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),계,계,523,476,424,331,309
출생전후기에 기원한 특정병태 (P00-P96),계,0 - 9세,523,476,424,330,309
출생전후기에 기원한 특정병태 (P00-P96),계,10 - 19세,0,0,0,1,0
출생전후기에 기원한 특정병태 (P00-P96),계,20 - 29세,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),계,30 - 39세,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),계,40 - 49세,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),계,50 - 59세,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),계,60 - 69세,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),계,70 - 79세,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),계,80세 이상,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),남자,계,308,281,234,183,160
출생전후기에 기원한 특정병태 (P00-P96),남자,0 - 9세,308,281,234,183,160
출생전후기에 기원한 특정병태 (P00-P96),남자,10 - 19세,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),남자,20 - 29세,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),남자,30 - 39세,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),남자,40 - 49세,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),남자,50 - 59세,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),남자,60 - 69세,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),남자,70 - 79세,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),남자,80세 이상,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),여자,계,215,195,190,148,149
출생전후기에 기원한 특정병태 (P00-P96),여자,0 - 9세,215,195,190,147,149
출생전후기에 기원한 특정병태 (P00-P96),여자,10 - 19세,0,0,0,1,0
출생전후기에 기원한 특정병태 (P00-P96),여자,20 - 29세,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),여자,30 - 39세,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),여자,40 - 49세,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),여자,50 - 59세,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),여자,60 - 69세,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),여자,70 - 79세,0,0,0,0,0
출생전후기에 기원한 특정병태 (P00-P96),여자,80세 이상,0,0,0,0,0
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",계,계,371,359,321,309,280
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",계,0 - 9세,213,210,166,135,115
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",계,10 - 19세,13,15,13,12,11
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",계,20 - 29세,27,15,19,24,22
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",계,30 - 39세,19,16,16,15,21
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",계,40 - 49세,20,18,21,20,13
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",계,50 - 59세,22,34,22,25,35
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",계,60 - 69세,17,21,30,27,25
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",계,70 - 79세,17,14,17,28,20
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",계,80세 이상,23,16,17,23,18
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",남자,계,196,174,163,170,145
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",남자,0 - 9세,117,106,83,68,61
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",남자,10 - 19세,9,9,7,9,6
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",남자,20 - 29세,13,9,14,11,11
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",남자,30 - 39세,11,4,10,8,14
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",남자,40 - 49세,10,11,12,16,7
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",남자,50 - 59세,12,18,14,18,20
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",남자,60 - 69세,10,6,10,14,12
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",남자,70 - 79세,11,6,7,17,10
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",남자,80세 이상,3,5,6,9,4
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",여자,계,175,185,158,139,135
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",여자,0 - 9세,96,104,83,67,54
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",여자,10 - 19세,4,6,6,3,5
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",여자,20 - 29세,14,6,5,13,11
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",여자,30 - 39세,8,12,6,7,7
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",여자,40 - 49세,10,7,9,4,6
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",여자,50 - 59세,10,16,8,7,15
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",여자,60 - 69세,7,15,20,13,13
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",여자,70 - 79세,6,8,10,11,10
"선천 기형, 변형 및 염색체 이상 (Q00-Q99)",여자,80세 이상,20,11,11,14,14
"달리 분류되지 않은 증상, 징후 (R00-R99)",계,계,25497,28466,28176,31801,37833
"달리 분류되지 않은 증상, 징후 (R00-R99)",계,0 - 9세,174,185,182,157,128
"달리 분류되지 않은 증상, 징후 (R00-R99)",계,10 - 19세,21,30,25,18,32
"달리 분류되지 않은 증상, 징후 (R00-R99)",계,20 - 29세,85,115,129,111,135
"달리 분류되지 않은 증상, 징후 (R00-R99)",계,30 - 39세,216,271,261,260,273
"달리 분류되지 않은 증상, 징후 (R00-R99)",계,40 - 49세,810,869,876,883,897
"달리 분류되지 않은 증상, 징후 (R00-R99)",계,50 - 59세,1673,1928,1896,1977,2092
"달리 분류되지 않은 증상, 징후 (R00-R99)",계,60 - 69세,1690,2125,2169,2370,2993
"달리 분류되지 않은 증상, 징후 (R00-R99)",계,70 - 79세,3916,4276,4177,4444,4994
"달리 분류되지 않은 증상, 징후 (R00-R99)",계,80세 이상,16896,18653,18432,21576,26282
"달리 분류되지 않은 증상, 징후 (R00-R99)",남자,계,11005,12414,12542,14135,16972
"달리 분류되지 않은 증상, 징후 (R00-R99)",남자,0 - 9세,92,102,102,98,78
"달리 분류되지 않은 증상, 징후 (R00-R99)",남자,10 - 19세,14,15,15,11,23
"달리 분류되지 않은 증상, 징후 (R00-R99)",남자,20 - 29세,64,78,83,68,87
"달리 분류되지 않은 증상, 징후 (R00-R99)",남자,30 - 39세,168,188,198,179,184
"달리 분류되지 않은 증상, 징후 (R00-R99)",남자,40 - 49세,671,685,687,685,692
"달리 분류되지 않은 증상, 징후 (R00-R99)",남자,50 - 59세,1436,1603,1587,1667,1759
"달리 분류되지 않은 증상, 징후 (R00-R99)",남자,60 - 69세,1280,1641,1693,1872,2420
"달리 분류되지 않은 증상, 징후 (R00-R99)",남자,70 - 79세,2307,2557,2527,2771,3101
"달리 분류되지 않은 증상, 징후 (R00-R99)",남자,80세 이상,4966,5534,5628,6784,8628
"달리 분류되지 않은 증상, 징후 (R00-R99)",여자,계,14492,16052,15634,17666,20861
"달리 분류되지 않은 증상, 징후 (R00-R99)",여자,0 - 9세,82,83,80,59,50
"달리 분류되지 않은 증상, 징후 (R00-R99)",여자,10 - 19세,7,15,10,7,9
"달리 분류되지 않은 증상, 징후 (R00-R99)",여자,20 - 29세,21,37,46,43,48
"달리 분류되지 않은 증상, 징후 (R00-R99)",여자,30 - 39세,48,83,63,81,89
"달리 분류되지 않은 증상, 징후 (R00-R99)",여자,40 - 49세,139,184,189,198,205
"달리 분류되지 않은 증상, 징후 (R00-R99)",여자,50 - 59세,237,325,309,310,333
"달리 분류되지 않은 증상, 징후 (R00-R99)",여자,60 - 69세,410,484,476,498,573
"달리 분류되지 않은 증상, 징후 (R00-R99)",여자,70 - 79세,1609,1719,1650,1673,1893
"달리 분류되지 않은 증상, 징후 (R00-R99)",여자,80세 이상,11930,13119,12804,14792,17654
"질병이환 및 사망의 외인 (V01-Y89, U12)",계,계,27154,28040,27282,26442,26147
"질병이환 및 사망의 외인 (V01-Y89, U12)",계,0 - 9세,217,166,194,164,151
"질병이환 및 사망의 외인 (V01-Y89, U12)",계,10 - 19세,470,485,471,484,481
"질병이환 및 사망의 외인 (V01-Y89, U12)",계,20 - 29세,1646,1698,1743,1893,2017
"질병이환 및 사망의 외인 (V01-Y89, U12)",계,30 - 39세,2448,2586,2463,2355,2306
"질병이환 및 사망의 외인 (V01-Y89, U12)",계,40 - 49세,3681,3844,3598,3312,3135
"질병이환 및 사망의 외인 (V01-Y89, U12)",계,50 - 59세,4922,5086,4919,4516,4262
"질병이환 및 사망의 외인 (V01-Y89, U12)",계,60 - 69세,3984,4350,4385,4400,4268
"질병이환 및 사망의 외인 (V01-Y89, U12)",계,70 - 79세,4627,4705,4398,4025,4178
"질병이환 및 사망의 외인 (V01-Y89, U12)",계,80세 이상,5154,5117,5101,5293,5348
"질병이환 및 사망의 외인 (V01-Y89, U12)",남자,계,18692,19493,18896,18032,17789
"질병이환 및 사망의 외인 (V01-Y89, U12)",남자,0 - 9세,149,98,114,101,86
"질병이환 및 사망의 외인 (V01-Y89, U12)",남자,10 - 19세,333,301,276,307,290
"질병이환 및 사망의 외인 (V01-Y89, U12)",남자,20 - 29세,1189,1161,1113,1175,1302
"질병이환 및 사망의 외인 (V01-Y89, U12)",남자,30 - 39세,1706,1809,1658,1605,1529
"질병이환 및 사망의 외인 (V01-Y89, U12)",남자,40 - 49세,2711,2899,2684,2429,2294
"질병이환 및 사망의 외인 (V01-Y89, U12)",남자,50 - 59세,3956,4043,3896,3518,3273
"질병이환 및 사망의 외인 (V01-Y89, U12)",남자,60 - 69세,3094,3440,3479,3374,3353
"질병이환 및 사망의 외인 (V01-Y89, U12)",남자,70 - 79세,3170,3220,3064,2903,2907
"질병이환 및 사망의 외인 (V01-Y89, U12)",남자,80세 이상,2380,2520,2602,2620,2755
"질병이환 및 사망의 외인 (V01-Y89, U12)",여자,계,8462,8547,8386,8410,8358
"질병이환 및 사망의 외인 (V01-Y89, U12)",여자,0 - 9세,68,68,80,63,65
"질병이환 및 사망의 외인 (V01-Y89, U12)",여자,10 - 19세,137,184,195,177,191
"질병이환 및 사망의 외인 (V01-Y89, U12)",여자,20 - 29세,457,537,630,718,715
"질병이환 및 사망의 외인 (V01-Y89, U12)",여자,30 - 39세,742,777,805,750,777
"질병이환 및 사망의 외인 (V01-Y89, U12)",여자,40 - 49세,970,945,914,883,841
"질병이환 및 사망의 외인 (V01-Y89, U12)",여자,50 - 59세,966,1043,1023,998,989
"질병이환 및 사망의 외인 (V01-Y89, U12)",여자,60 - 69세,890,910,906,1026,915
"질병이환 및 사망의 외인 (V01-Y89, U12)",여자,70 - 79세,1457,1485,1334,1122,1271
"질병이환 및 사망의 외인 (V01-Y89, U12)",여자,80세 이상,2774,2597,2499,2673,2593
